Instrument Type,Date,Traded Contract(Lots),Total Value (Lacs),Premium Value (Lacs)
OPTFUT,19 Feb 2024,1045832,4778743.66,-
OPTFUT,20 Feb 2024,1613000,7890600.24,-
FUTCOM,20 Feb 2024,383934,1246529.41,-
FUTIDX,20 Feb 2024,101,808.84,-
OPTFUT,21 Feb 2024,2350721,9166306.06,-
FUTCOM,21 Feb 2024,533118,1438502.34,-
FUTIDX,21 Feb 2024,99,792.86,-
FUTCOM,22 Feb 2024,708765,1826764.51,-
FUTIDX,22 Feb 2024,251,2006.52,-
OPTFUT,22 Feb 2024,1705616,9197041.56,-
OPTFUT,23 Feb 2024,1374374,8839076.87,-
FUTCOM,23 Feb 2024,581721,1826915.88,-
FUTIDX,23 Feb 2024,332,2644.47,-
FUTIDX,26 Feb 2024,96,765.75,-
FUTCOM,26 Feb 2024,450802,1356071.56,-
OPTFUT,26 Feb 2024,1230416,6470697.82,-
OPTFUT,27 Feb 2024,1366190,7165783.94,-
FUTCOM,27 Feb 2024,444623,1698356.93,-
FUTIDX,27 Feb 2024,79,630.52,-
FUTIDX,28 Feb 2024,92,731.85,-
OPTFUT,28 Feb 2024,1540005,8844681.35,-
FUTCOM,28 Feb 2024,380076,1435504.05,-
FUTCOM,29 Feb 2024,420135,1493604.64,-
FUTIDX,29 Feb 2024,206,1644.65,-
OPTFUT,29 Feb 2024,1689873,9894915.47,-
FUTIDX,01 Mar 2024,346,2784.75,-
OPTFUT,01 Mar 2024,1749450,11429255.81,-
FUTCOM,01 Mar 2024,530703,2106214.45,-
FUTIDX,04 Mar 2024,257,2100.62,-
FUTCOM,04 Mar 2024,623008,2106436.99,-
OPTFUT,04 Mar 2024,1919690,11677290.62,-
OPTFUT,05 Mar 2024,2548164,16429258.61,-
FUTIDX,05 Mar 2024,231,1909.22,-
FUTCOM,05 Mar 2024,562315,2076884.37,-
FUTIDX,06 Mar 2024,173,1433.52,-
FUTCOM,06 Mar 2024,475622,1734926.42,-
OPTFUT,06 Mar 2024,1836889,11613860.24,-
OPTFUT,07 Mar 2024,2453611,15429560.19,-
FUTCOM,07 Mar 2024,472649,1767004.09,-
FUTIDX,07 Mar 2024,149,1241.26,-
FUTIDX,08 Mar 2024,222,1862.08,-
FUTCOM,08 Mar 2024,350282,1519401.12,-
OPTFUT,08 Mar 2024,1586759,10287725.54,-
OPTFUT,11 Mar 2024,2648395,16296539.64,-
FUTIDX,11 Mar 2024,152,1276.76,-
FUTCOM,11 Mar 2024,322019,1238719.86,-
OPTFUT,12 Mar 2024,3130637,19299547.09,-
FUTIDX,12 Mar 2024,281,2351.05,-
FUTCOM,12 Mar 2024,514671,2020575.28,-
FUTIDX,13 Mar 2024,138,1156.02,-
FUTCOM,13 Mar 2024,444411,1622263.5,-
OPTFUT,13 Mar 2024,3005748,18572769.74,-
FUTCOM,14 Mar 2024,408381,1429372.18,-
FUTIDX,14 Mar 2024,101,847.91,-
OPTFUT,14 Mar 2024,3560805,22105332.21,-
OPTFUT,15 Mar 2024,2636462,14636323.09,-
FUTCOM,15 Mar 2024,447862,1720105.78,-
FUTIDX,15 Mar 2024,94,789.85,-
FUTCOM,18 Mar 2024,405965,1370882.84,-
FUTIDX,18 Mar 2024,174,1457.77,-
OPTFUT,18 Mar 2024,1491243,6760656.61,-
FUTIDX,19 Mar 2024,163,1366.81,-
OPTFUT,19 Mar 2024,1402422,6373087.29,-
FUTCOM,19 Mar 2024,409424,1392652.14,-
FUTIDX,20 Mar 2024,111,932.09,-
OPTFUT,20 Mar 2024,1711380,7873415.26,-
FUTCOM,20 Mar 2024,356534,1357618.51,-
FUTCOM,21 Mar 2024,647076,2751061.87,-
OPTFUT,21 Mar 2024,1364035,10158553.17,-
FUTIDX,21 Mar 2024,432,3670.95,-
FUTIDX,22 Mar 2024,228,1919.37,-
FUTCOM,22 Mar 2024,427035,1906472.46,-
OPTFUT,22 Mar 2024,927673,8740578.81,-
FUTCOM,25 Mar 2024,209420,735593.11,-
FUTIDX,25 Mar 2024,122,1027.59,-
OPTFUT,25 Mar 2024,660584,5703261.35,-
FUTCOM,26 Mar 2024,386920,1884000.36,-
FUTIDX,26 Mar 2024,266,2240.19,-
OPTFUT,26 Mar 2024,1001925,8073805.04,-
FUTCOM,27 Mar 2024,318849,1587370.73,-
FUTIDX,27 Mar 2024,129,1087.39,-
OPTFUT,27 Mar 2024,955090,5778155.88,-
FUTIDX,28 Mar 2024,244,2070.18,-
FUTCOM,28 Mar 2024,489789,2471271.16,-
OPTFUT,28 Mar 2024,1012719,6362497.38,-
FUTCOM,01 Apr 2024,595487,2073124.72,-
OPTFUT,01 Apr 2024,1525694,9459770.14,-
FUTIDX,01 Apr 2024,341,2936.23,-
OPTFUT,02 Apr 2024,1740290,10846681.25,-
FUTIDX,02 Apr 2024,293,2537.49,-
FUTCOM,02 Apr 2024,627307,2236900.39,-
OPTFUT,03 Apr 2024,1435401,9419738.51,-
FUTCOM,03 Apr 2024,602634,2286575.38,-
FUTIDX,03 Apr 2024,389,3411.29,-
FUTIDX,04 Apr 2024,182,1609.01,-
OPTFUT,04 Apr 2024,1399534,8860349.19,-
FUTCOM,04 Apr 2024,517160,1974268.92,-
FUTCOM,05 Apr 2024,652915,2532354.53,-
FUTIDX,05 Apr 2024,287,2544.47,-
OPTFUT,05 Apr 2024,1612142,11271224.41,-
FUTCOM,08 Apr 2024,594288,2295559.95,-
FUTIDX,08 Apr 2024,240,2160.31,-
OPTFUT,08 Apr 2024,2152322,14609855.83,-
OPTFUT,09 Apr 2024,1976542,13266820.72,-
FUTCOM,09 Apr 2024,634642,2439195.85,-
FUTIDX,09 Apr 2024,296,2685.91,-
FUTCOM,10 Apr 2024,713667,3057446.16,-
OPTFUT,10 Apr 2024,2699392,18709204.97,-
FUTIDX,10 Apr 2024,302,2741.38,-
FUTCOM,11 Apr 2024,342718,1151182.6,-
FUTIDX,11 Apr 2024,86,780.93,-
OPTFUT,11 Apr 2024,1701734,10726726.62,-
FUTCOM,12 Apr 2024,953284,4269127.51,-
OPTFUT,12 Apr 2024,2871888,20654353.0,-
FUTIDX,12 Apr 2024,645,5971.89,-
FUTIDX,15 Apr 2024,316,2893.69,-
FUTCOM,15 Apr 2024,682670,3038772.47,-
OPTFUT,15 Apr 2024,3822038,26205508.32,-
FUTCOM,16 Apr 2024,630116,2711174.97,-
FUTIDX,16 Apr 2024,352,3253.94,-
OPTFUT,16 Apr 2024,3503771,23600208.78,-
OPTFUT,17 Apr 2024,2559471,16848378.32,-
FUTCOM,17 Apr 2024,434975,1898940.29,-
FUTIDX,17 Apr 2024,193,1786.82,-
OPTFUT,18 Apr 2024,1637332,8688167.04,-
FUTIDX,18 Apr 2024,144,1328.88,-
FUTCOM,18 Apr 2024,527255,2199997.26,-
OPTFUT,19 Apr 2024,2105873,11540241.95,-
FUTIDX,19 Apr 2024,376,3468.66,-
FUTCOM,19 Apr 2024,584890,2689271.29,-
OPTFUT,22 Apr 2024,1923669,12060561.56,-
FUTIDX,22 Apr 2024,559,5075.76,-
FUTCOM,22 Apr 2024,729889,3150368.68,-
FUTCOM,23 Apr 2024,725975,3154622.91,-
FUTIDX,23 Apr 2024,622,5564.91,-
OPTFUT,23 Apr 2024,1987705,14140649.85,-
OPTFUT,24 Apr 2024,1438578,10326465.64,-
FUTIDX,24 Apr 2024,386,3470.32,-
FUTCOM,24 Apr 2024,577338,2121812.19,-
FUTCOM,25 Apr 2024,539088,2375098.64,-
OPTFUT,25 Apr 2024,1327224,8884831.93,-
FUTIDX,25 Apr 2024,215,1936.06,-
FUTIDX,26 Apr 2024,214,1936.61,-
FUTCOM,26 Apr 2024,487387,2421336.33,-
OPTFUT,26 Apr 2024,1223478,8173131.42,-
FUTIDX,29 Apr 2024,143,1292.16,-
OPTFUT,29 Apr 2024,1458487,9316970.91,-
FUTCOM,29 Apr 2024,489970,2110938.79,-
FUTCOM,30 Apr 2024,683927,2827304.9,-
OPTFUT,30 Apr 2024,2144484,14264668.61,-
FUTIDX,30 Apr 2024,311,2786.26,-
FUTCOM,01 May 2024,348933,1511689.47,-
FUTIDX,01 May 2024,163,1456.61,-
OPTFUT,01 May 2024,1832803,11891575.11,-
OPTFUT,02 May 2024,2246966,14735036.77,-
FUTIDX,02 May 2024,188,1679.55,-
FUTCOM,02 May 2024,628564,2739675.68,-
OPTFUT,03 May 2024,1967681,11983207.81,-
FUTCOM,03 May 2024,627022,2664704.95,-
FUTIDX,03 May 2024,209,1864.65,-
OPTFUT,06 May 2024,2152925,13249759.4,-
FUTCOM,06 May 2024,550859,2168442.0,-
FUTIDX,06 May 2024,251,2263.52,-
FUTIDX,07 May 2024,128,1156.23,-
FUTCOM,07 May 2024,421076,1721107.92,-
OPTFUT,07 May 2024,2228783,13247505.79,-
FUTIDX,08 May 2024,119,1073.86,-
FUTCOM,08 May 2024,453494,1968059.86,-
OPTFUT,08 May 2024,2481364,15282175.82,-
OPTFUT,09 May 2024,2361241,14805271.13,-
FUTIDX,09 May 2024,200,1814.09,-
FUTCOM,09 May 2024,558595,2467691.36,-
FUTIDX,10 May 2024,244,2248.4,-
FUTCOM,10 May 2024,537159,2500404.15,-
OPTFUT,10 May 2024,2299134,15139322.68,-
OPTFUT,13 May 2024,2695435,16530417.54,-
FUTIDX,13 May 2024,177,1623.14,-
FUTCOM,13 May 2024,442897,2021851.47,-
FUTIDX,14 May 2024,148,1358.89,-
FUTCOM,14 May 2024,503103,2256161.23,-
OPTFUT,14 May 2024,3993590,24649549.41,-
FUTIDX,15 May 2024,292,2702.31,-
OPTFUT,15 May 2024,5369699,34178650.04,-
FUTCOM,15 May 2024,731664,3584314.97,-
FUTCOM,16 May 2024,593317,2285713.2,-
OPTFUT,16 May 2024,3560819,20558986.46,-
FUTIDX,16 May 2024,168,1566.26,-
FUTCOM,17 May 2024,748106,3247150.99,-
OPTFUT,17 May 2024,1794806,10555243.91,-
FUTIDX,17 May 2024,257,2419.09,-
FUTIDX,20 May 2024,179,1719.52,-
FUTCOM,20 May 2024,665358,2755966.95,-
OPTFUT,20 May 2024,1633017,9694159.26,-
OPTFUT,21 May 2024,2823560,15769045.54,-
FUTIDX,21 May 2024,303,2915.65,-
FUTCOM,21 May 2024,820549,3774103.52,-
FUTCOM,22 May 2024,704218,3415516.8,-
FUTIDX,22 May 2024,326,3119.66,-
OPTFUT,22 May 2024,3165956,17095689.39,-
FUTCOM,23 May 2024,916819,4008784.38,-
FUTIDX,23 May 2024,373,3496.53,-
OPTFUT,23 May 2024,4177628,21440097.13,-
FUTIDX,24 May 2024,274,2548.31,-
OPTFUT,24 May 2024,2464627,15111449.64,-
FUTCOM,24 May 2024,573530,2495139.86,-
FUTIDX,27 May 2024,514,4815.45,-
OPTFUT,27 May 2024,1163795,9121583.07,-
FUTCOM,27 May 2024,535959,2552404.76,-
FUTIDX,28 May 2024,164,1553.41,-
OPTFUT,28 May 2024,1457830,8759552.23,-
FUTCOM,28 May 2024,680756,2955361.83,-
FUTCOM,29 May 2024,563723,2777665.5,-
OPTFUT,29 May 2024,1533597,8989965.92,-
FUTIDX,29 May 2024,232,2209.54,-
FUTCOM,30 May 2024,640540,3048111.89,-
OPTFUT,30 May 2024,2188291,13124664.42,-
FUTIDX,30 May 2024,159,1501.18,-
OPTFUT,31 May 2024,2002055,12019237.45,-
FUTIDX,31 May 2024,206,1938.08,-
FUTCOM,31 May 2024,712645,3006746.03,-
FUTCOM,03 Jun 2024,725060,2848921.78,-
FUTIDX,03 Jun 2024,165,1539.44,-
