Instrument Type,Date,Traded Contract(Lots),Total Value (Lacs),Premium Value (Lacs)
FUTCOM,08 Feb 2022,431414,2189741.32,-
FUTIDX,08 Feb 2022,4485,38022.19,-
FUTCOM,09 Feb 2022,383822,2064875.49,-
FUTIDX,09 Feb 2022,4968,43050.72,-
OPTFUT,09 Feb 2022,242082,1634006.56,-
OPTFUT,10 Feb 2022,308443,2117815.99,-
FUTCOM,10 Feb 2022,481027,2465552.5,-
FUTIDX,10 Feb 2022,4830,42149.56,-
OPTFUT,11 Feb 2022,255791,1759412.46,-
FUTCOM,11 Feb 2022,459869,2322347.02,-
FUTIDX,11 Feb 2022,5827,50637.23,-
OPTFUT,14 Feb 2022,328461,2353933.51,-
FUTIDX,14 Feb 2022,5344,45873.26,-
FUTCOM,14 Feb 2022,484517,2357336.86,-
OPTFUT,15 Feb 2022,505024,3581292.04,-
FUTCOM,15 Feb 2022,570785,2675432.66,-
FUTIDX,15 Feb 2022,5297,44118.75,-
FUTIDX,16 Feb 2022,3873,32400.17,-
FUTCOM,16 Feb 2022,385233,1844840.73,-
OPTFUT,16 Feb 2022,175558,1194930.84,-
OPTFUT,17 Feb 2022,127856,913420.44,-
FUTCOM,17 Feb 2022,541174,2687739.88,-
FUTIDX,17 Feb 2022,5477,45764.96,-
FUTCOM,18 Feb 2022,469708,2325468.35,-
OPTFUT,18 Feb 2022,152796,1037888.07,-
FUTIDX,18 Feb 2022,3834,31683.48,-
FUTCOM,21 Feb 2022,405451,2019402.81,-
FUTIDX,21 Feb 2022,3043,25781.75,-
OPTFUT,21 Feb 2022,110698,758385.34,-
FUTIDX,22 Feb 2022,4808,40569.45,-
FUTCOM,22 Feb 2022,566895,2879959.08,-
OPTFUT,22 Feb 2022,160423,1202121.72,-
FUTCOM,23 Feb 2022,389454,2089490.68,-
FUTIDX,23 Feb 2022,4094,34548.61,-
OPTFUT,23 Feb 2022,140800,1030806.32,-
FUTCOM,24 Feb 2022,1070372,5160414.35,-
OPTFUT,24 Feb 2022,219101,1782324.36,-
FUTIDX,24 Feb 2022,7807,68159.52,-
OPTFUT,25 Feb 2022,216084,1702314.31,-
FUTIDX,25 Feb 2022,5429,46052.18,-
FUTCOM,25 Feb 2022,665503,3281947.05,-
FUTIDX,28 Feb 2022,4850,41774.79,-
OPTFUT,28 Feb 2022,213413,1732595.37,-
FUTCOM,28 Feb 2022,612457,3227728.74,-
FUTCOM,01 Mar 2022,502046,2515002.77,-
OPTFUT,01 Mar 2022,191426,1547502.99,-
FUTIDX,01 Mar 2022,4507,39368.96,-
OPTFUT,02 Mar 2022,209895,1781929.11,-
FUTIDX,02 Mar 2022,5519,50156.73,-
FUTCOM,02 Mar 2022,677276,3804937.05,-
FUTIDX,03 Mar 2022,4882,46851.43,-
FUTCOM,03 Mar 2022,624446,3930954.19,-
OPTFUT,03 Mar 2022,207038,1759986.78,-
FUTCOM,04 Mar 2022,607219,3860250.71,-
FUTIDX,04 Mar 2022,4247,41110.29,-
OPTFUT,04 Mar 2022,163729,1450625.49,-
FUTCOM,07 Mar 2022,868315,5020773.51,-
FUTIDX,07 Mar 2022,5714,59651.88,-
OPTFUT,07 Mar 2022,178315,1709546.75,-
OPTFUT,08 Mar 2022,185971,1778935.9,-
FUTIDX,08 Mar 2022,3815,36251.19,-
FUTCOM,08 Mar 2022,1030519,4849026.91,-
OPTFUT,09 Mar 2022,237395,2335406.2,-
FUTCOM,09 Mar 2022,923998,4242758.49,-
FUTIDX,09 Mar 2022,3106,24885.82,-
FUTCOM,10 Mar 2022,766323,3649742.43,-
FUTIDX,10 Mar 2022,2056,16226.32,-
OPTFUT,10 Mar 2022,245033,2286117.64,-
OPTFUT,11 Mar 2022,264461,2451136.57,-
FUTIDX,11 Mar 2022,2450,19359.17,-
FUTCOM,11 Mar 2022,646174,3006721.07,-
OPTFUT,14 Mar 2022,355402,2996117.28,-
FUTCOM,14 Mar 2022,579383,2672570.61,-
FUTIDX,14 Mar 2022,1731,13622.17,-
FUTCOM,15 Mar 2022,612302,2812142.63,-
FUTIDX,15 Mar 2022,2116,16155.59,-
OPTFUT,15 Mar 2022,502768,4032845.95,-
OPTFUT,16 Mar 2022,564938,4377618.55,-
FUTCOM,16 Mar 2022,508878,2427127.28,-
FUTIDX,16 Mar 2022,1490,11320.44,-
OPTFUT,17 Mar 2022,248287,1975827.5,-
FUTCOM,17 Mar 2022,466331,2249209.84,-
FUTIDX,17 Mar 2022,1365,10450.69,-
OPTFUT,18 Mar 2022,79515,696404.75,-
FUTCOM,18 Mar 2022,246713,1072859.44,-
FUTIDX,18 Mar 2022,709,5398.64,-
OPTFUT,21 Mar 2022,143086,1263031.85,-
FUTIDX,21 Mar 2022,1364,10582.15,-
FUTCOM,21 Mar 2022,409538,2095473.49,-
OPTFUT,22 Mar 2022,190479,1629404.29,-
FUTIDX,22 Mar 2022,1979,15270.63,-
FUTCOM,22 Mar 2022,531610,2597909.9,-
OPTFUT,23 Mar 2022,161925,1418883.46,-
FUTCOM,23 Mar 2022,430954,2258260.0,-
FUTIDX,23 Mar 2022,1196,9149.69,-
OPTFUT,24 Mar 2022,118713,1251722.17,-
FUTIDX,24 Mar 2022,1743,13372.09,-
FUTCOM,24 Mar 2022,560918,2728835.73,-
FUTIDX,25 Mar 2022,1294,10011.23,-
FUTCOM,25 Mar 2022,422982,2225465.54,-
OPTFUT,25 Mar 2022,112072,1107870.94,-
FUTCOM,28 Mar 2022,425615,2288973.16,-
FUTIDX,28 Mar 2022,1060,8070.31,-
OPTFUT,28 Mar 2022,119451,1006767.72,-
OPTFUT,29 Mar 2022,202974,1691530.99,-
FUTIDX,29 Mar 2022,1853,13853.56,-
FUTCOM,29 Mar 2022,713147,3627158.67,-
FUTIDX,30 Mar 2022,1136,8562.24,-
FUTCOM,30 Mar 2022,419273,2347683.99,-
OPTFUT,30 Mar 2022,133034,1101062.95,-
FUTCOM,31 Mar 2022,482373,2383365.61,-
OPTFUT,31 Mar 2022,198668,1586535.39,-
FUTIDX,31 Mar 2022,1471,11115.86,-
FUTCOM,01 Apr 2022,438030,2103694.45,-
OPTFUT,01 Apr 2022,172740,1333046.94,-
FUTIDX,01 Apr 2022,1479,11152.25,-
FUTIDX,04 Apr 2022,1336,9997.82,-
FUTCOM,04 Apr 2022,468034,2229404.77,-
OPTFUT,04 Apr 2022,199622,1552080.75,-
FUTCOM,05 Apr 2022,523974,2548281.85,-
OPTFUT,05 Apr 2022,206052,1626887.96,-
FUTIDX,05 Apr 2022,1747,13080.85,-
OPTFUT,06 Apr 2022,248950,1949000.39,-
FUTCOM,06 Apr 2022,493464,2570950.59,-
FUTIDX,06 Apr 2022,1431,10727.37,-
FUTIDX,07 Apr 2022,1131,8563.91,-
OPTFUT,07 Apr 2022,274349,2079223.06,-
FUTCOM,07 Apr 2022,474879,2520906.81,-
FUTIDX,08 Apr 2022,1260,9492.27,-
FUTCOM,08 Apr 2022,416799,2120205.13,-
OPTFUT,08 Apr 2022,257880,1941361.22,-
FUTCOM,11 Apr 2022,509459,2435852.09,-
FUTIDX,11 Apr 2022,1891,14369.13,-
OPTFUT,11 Apr 2022,335443,2532846.14,-
FUTCOM,12 Apr 2022,577069,2910128.44,-
FUTIDX,12 Apr 2022,2008,15375.93,-
OPTFUT,12 Apr 2022,378249,2897628.96,-
OPTFUT,13 Apr 2022,392834,3069759.07,-
FUTIDX,13 Apr 2022,1055,8146.47,-
FUTCOM,13 Apr 2022,407792,2135684.66,-
FUTIDX,14 Apr 2022,1018,7836.54,-
OPTFUT,14 Apr 2022,153869,1189547.57,-
FUTCOM,14 Apr 2022,282719,1462938.93,-
OPTFUT,18 Apr 2022,125148,1069260.4,-
FUTCOM,18 Apr 2022,438459,2279234.14,-
FUTIDX,18 Apr 2022,1461,11400.33,-
OPTFUT,19 Apr 2022,186909,1525955.87,-
FUTIDX,19 Apr 2022,2152,16650.4,-
FUTCOM,19 Apr 2022,586302,2976030.14,-
OPTFUT,20 Apr 2022,212358,1648856.83,-
FUTIDX,20 Apr 2022,1170,8979.31,-
FUTCOM,20 Apr 2022,453017,2495808.22,-
FUTIDX,21 Apr 2022,1635,12436.21,-
FUTCOM,21 Apr 2022,506835,2610021.32,-
OPTFUT,21 Apr 2022,227793,1745947.52,-
FUTIDX,22 Apr 2022,1839,13929.45,-
OPTFUT,22 Apr 2022,143935,1192240.89,-
FUTCOM,22 Apr 2022,537896,2727908.75,-
OPTFUT,25 Apr 2022,141376,1242935.93,-
FUTIDX,25 Apr 2022,2083,15547.56,-
FUTCOM,25 Apr 2022,556210,2819871.12,-
OPTFUT,26 Apr 2022,175454,1457237.74,-
FUTCOM,26 Apr 2022,432611,2485463.29,-
FUTIDX,26 Apr 2022,1734,12920.75,-
FUTCOM,27 Apr 2022,464219,2669465.5,-
FUTIDX,27 Apr 2022,1694,12555.14,-
OPTFUT,27 Apr 2022,154602,1302441.12,-
FUTCOM,28 Apr 2022,471096,2612279.63,-
OPTFUT,28 Apr 2022,170988,1447551.09,-
FUTIDX,28 Apr 2022,1283,9447.65,-
FUTIDX,29 Apr 2022,1833,13613.83,-
FUTCOM,29 Apr 2022,466384,2525363.89,-
OPTFUT,29 Apr 2022,151529,1338185.15,-
FUTCOM,02 May 2022,536261,2768152.29,-
FUTIDX,02 May 2022,1820,13262.13,-
OPTFUT,02 May 2022,219484,1931965.18,-
OPTFUT,03 May 2022,136692,1170756.8,-
FUTIDX,03 May 2022,925,6730.71,-
FUTCOM,03 May 2022,282236,1431329.65,-
FUTIDX,04 May 2022,1168,8459.81,-
OPTFUT,04 May 2022,187080,1625590.09,-
FUTCOM,04 May 2022,401952,2300660.91,-
FUTIDX,05 May 2022,2364,17329.48,-
FUTCOM,05 May 2022,605457,3144446.64,-
OPTFUT,05 May 2022,224672,2065832.14,-
OPTFUT,06 May 2022,217719,1973832.76,-
FUTCOM,06 May 2022,443127,2561177.62,-
FUTIDX,06 May 2022,1345,9830.5,-
FUTIDX,09 May 2022,1392,10122.12,-
OPTFUT,09 May 2022,282260,2478768.85,-
FUTCOM,09 May 2022,515974,2736423.05,-
FUTCOM,10 May 2022,607390,3222636.49,-
OPTFUT,10 May 2022,385076,3182520.34,-
FUTIDX,10 May 2022,1453,10505.41,-
FUTCOM,11 May 2022,555518,2869183.69,-
FUTIDX,11 May 2022,1397,10049.36,-
OPTFUT,11 May 2022,340249,2874195.55,-
FUTIDX,12 May 2022,1487,10637.16,-
FUTCOM,12 May 2022,587653,3036687.2,-
OPTFUT,12 May 2022,344763,2929457.79,-
OPTFUT,13 May 2022,334970,2930198.2,-
FUTCOM,13 May 2022,490867,2492859.33,-
FUTIDX,13 May 2022,1307,9229.99,-
OPTFUT,16 May 2022,458974,4024794.13,-
FUTIDX,16 May 2022,1467,10419.56,-
FUTCOM,16 May 2022,469713,2373206.94,-
FUTCOM,17 May 2022,409170,2212340.81,-
FUTIDX,17 May 2022,1431,10258.81,-
OPTFUT,17 May 2022,206664,1911364.34,-
OPTFUT,18 May 2022,149327,1399976.89,-
FUTCOM,18 May 2022,443123,2600134.75,-
FUTIDX,18 May 2022,1372,9784.56,-
FUTIDX,19 May 2022,1968,14116.08,-
FUTCOM,19 May 2022,523575,2835584.72,-
OPTFUT,19 May 2022,196063,1826878.64,-
FUTIDX,20 May 2022,1688,12185.09,-
OPTFUT,20 May 2022,190805,1792816.25,-
FUTCOM,20 May 2022,410302,2333721.95,-
OPTFUT,23 May 2022,160636,1597269.19,-
FUTCOM,23 May 2022,442519,2301667.01,-
FUTIDX,23 May 2022,1560,11316.67,-
OPTFUT,24 May 2022,114540,1381262.92,-
FUTIDX,24 May 2022,2024,14698.4,-
FUTCOM,24 May 2022,457671,2371493.32,-
FUTIDX,25 May 2022,1902,13778.05,-
OPTFUT,25 May 2022,104509,1032968.68,-
FUTCOM,25 May 2022,393831,2373224.29,-
FUTIDX,26 May 2022,1104,7985.16,-
OPTFUT,26 May 2022,120489,1106719.0,-
FUTCOM,26 May 2022,363762,2331703.74,-
FUTCOM,27 May 2022,450496,2575374.1,-
FUTIDX,27 May 2022,1510,10983.53,-
OPTFUT,27 May 2022,150719,1383263.92,-
FUTCOM,30 May 2022,269521,1503239.95,-
OPTFUT,30 May 2022,91679,851039.78,-
FUTIDX,30 May 2022,885,6434.22,-
OPTFUT,31 May 2022,184010,1719309.95,-
FUTCOM,31 May 2022,453152,2460628.09,-
FUTIDX,31 May 2022,1371,9911.87,-
FUTIDX,01 Jun 2022,1316,9463.83,-
FUTCOM,01 Jun 2022,468709,2510487.69,-
OPTFUT,01 Jun 2022,181463,1694931.52,-
OPTFUT,02 Jun 2022,265370,2438343.52,-
FUTCOM,02 Jun 2022,517148,3037723.33,-
FUTIDX,02 Jun 2022,1272,9233.87,-
FUTCOM,03 Jun 2022,462285,2270436.66,-
FUTIDX,03 Jun 2022,1629,11854.02,-
OPTFUT,03 Jun 2022,196568,1825074.42,-
OPTFUT,06 Jun 2022,199065,1865219.43,-
FUTIDX,06 Jun 2022,1281,9306.69,-
FUTCOM,06 Jun 2022,445164,2286980.06,-
FUTIDX,07 Jun 2022,1076,7790.71,-
OPTFUT,07 Jun 2022,242237,2280590.29,-
FUTCOM,07 Jun 2022,409637,2260098.66,-
FUTIDX,08 Jun 2022,1029,7461.58,-
FUTCOM,08 Jun 2022,480965,2741994.62,-
OPTFUT,08 Jun 2022,296952,2798712.58,-
OPTFUT,09 Jun 2022,255729,2375480.15,-
FUTCOM,09 Jun 2022,521605,2948593.62,-
FUTIDX,09 Jun 2022,1214,8779.77,-
FUTCOM,10 Jun 2022,675172,3498692.77,-
OPTFUT,10 Jun 2022,367655,3546731.23,-
FUTIDX,10 Jun 2022,2352,17030.27,-
FUTIDX,13 Jun 2022,2194,15822.25,-
FUTCOM,13 Jun 2022,671666,3445429.94,-
OPTFUT,13 Jun 2022,434166,4124091.75,-
FUTCOM,14 Jun 2022,487140,2598142.67,-
OPTFUT,14 Jun 2022,473202,4474829.03,-
FUTIDX,14 Jun 2022,1093,7791.54,-
FUTIDX,15 Jun 2022,1850,13253.16,-
OPTFUT,15 Jun 2022,235762,2119665.93,-
FUTCOM,15 Jun 2022,536944,2600526.02,-
FUTIDX,16 Jun 2022,2168,15576.95,-
OPTFUT,16 Jun 2022,172155,1532610.23,-
FUTCOM,16 Jun 2022,601037,2907836.46,-
FUTIDX,17 Jun 2022,1458,10531.53,-
OPTFUT,17 Jun 2022,209193,1787199.11,-
FUTCOM,17 Jun 2022,446911,2355388.23,-
OPTFUT,20 Jun 2022,147776,1192895.48,-
FUTCOM,20 Jun 2022,317297,1486407.39,-
FUTIDX,20 Jun 2022,974,7007.63,-
FUTCOM,21 Jun 2022,434278,2100819.09,-
OPTFUT,21 Jun 2022,187675,1494968.73,-
FUTIDX,21 Jun 2022,1493,10756.04,-
OPTFUT,22 Jun 2022,250333,2013739.69,-
FUTIDX,22 Jun 2022,2071,14866.61,-
FUTCOM,22 Jun 2022,518998,2521392.41,-
FUTCOM,23 Jun 2022,724867,3036532.36,-
FUTIDX,23 Jun 2022,1860,13332.26,-
OPTFUT,23 Jun 2022,195786,1636415.07,-
OPTFUT,24 Jun 2022,182060,1561804.64,-
FUTCOM,24 Jun 2022,660069,2871696.99,-
FUTIDX,24 Jun 2022,1540,10977.6,-
FUTCOM,27 Jun 2022,437937,2159344.21,-
OPTFUT,27 Jun 2022,187827,1607250.07,-
FUTIDX,27 Jun 2022,1342,9635.24,-
FUTCOM,28 Jun 2022,415307,2185735.91,-
OPTFUT,28 Jun 2022,181325,1571417.74,-
FUTIDX,28 Jun 2022,1132,8121.87,-
FUTIDX,29 Jun 2022,1600,11450.0,-
FUTCOM,29 Jun 2022,434423,2309043.24,-
OPTFUT,29 Jun 2022,183814,1625989.98,-
FUTCOM,30 Jun 2022,513007,2573456.55,-
FUTIDX,30 Jun 2022,1916,13624.61,-
OPTFUT,30 Jun 2022,252434,2150267.37,-
FUTIDX,01 Jul 2022,2281,16390.28,-
FUTCOM,01 Jul 2022,616293,2941121.15,-
OPTFUT,01 Jul 2022,215993,1926715.36,-
FUTIDX,04 Jul 2022,497,3592.66,-
FUTCOM,04 Jul 2022,249803,1356924.35,-
OPTFUT,04 Jul 2022,161794,1382607.13,-
FUTIDX,05 Jul 2022,1638,11778.35,-
OPTFUT,05 Jul 2022,409098,3419570.69,-
FUTCOM,05 Jul 2022,591529,2856694.97,-
FUTCOM,06 Jul 2022,605082,2866054.02,-
OPTFUT,06 Jul 2022,368724,2996360.95,-
FUTIDX,06 Jul 2022,1772,12533.03,-
FUTIDX,07 Jul 2022,969,6829.09,-
OPTFUT,07 Jul 2022,349357,2806147.58,-
FUTCOM,07 Jul 2022,438702,2333263.26,-
FUTIDX,08 Jul 2022,1352,9521.36,-
OPTFUT,08 Jul 2022,349541,2920470.07,-
FUTCOM,08 Jul 2022,429814,2123041.42,-
OPTFUT,11 Jul 2022,456300,3769755.27,-
FUTIDX,11 Jul 2022,666,4693.73,-
FUTCOM,11 Jul 2022,336475,1920331.52,-
OPTFUT,12 Jul 2022,582023,4680416.87,-
FUTCOM,12 Jul 2022,499883,2654488.76,-
FUTIDX,12 Jul 2022,1013,7110.1,-
FUTCOM,13 Jul 2022,528511,2862989.71,-
FUTIDX,13 Jul 2022,1435,10083.98,-
OPTFUT,13 Jul 2022,611145,4854017.77,-
OPTFUT,14 Jul 2022,733345,5731436.12,-
FUTIDX,14 Jul 2022,1779,12406.74,-
FUTCOM,14 Jul 2022,680435,3048116.32,-
OPTFUT,15 Jul 2022,303806,2440013.46,-
FUTCOM,15 Jul 2022,506554,2468389.61,-
FUTIDX,15 Jul 2022,1244,8617.61,-
OPTFUT,18 Jul 2022,195425,1663591.34,-
FUTCOM,18 Jul 2022,378764,1981168.68,-
FUTIDX,18 Jul 2022,1262,8819.41,-
FUTCOM,19 Jul 2022,313800,1889824.22,-
OPTFUT,19 Jul 2022,230614,1893415.11,-
FUTIDX,19 Jul 2022,717,4998.34,-
FUTIDX,20 Jul 2022,923,6438.66,-
OPTFUT,20 Jul 2022,258608,2123104.06,-
FUTCOM,20 Jul 2022,369360,2128952.58,-
OPTFUT,21 Jul 2022,326558,2843318.52,-
FUTCOM,21 Jul 2022,646465,3015936.09,-
FUTIDX,21 Jul 2022,2135,14777.52,-
OPTFUT,22 Jul 2022,268849,2363924.42,-
FUTIDX,22 Jul 2022,1367,9551.23,-
FUTCOM,22 Jul 2022,450119,2253722.6,-
FUTCOM,25 Jul 2022,382503,1927754.93,-
OPTFUT,25 Jul 2022,190209,1745626.29,-
FUTIDX,25 Jul 2022,1586,11033.77,-
FUTCOM,26 Jul 2022,353777,2176859.36,-
OPTFUT,26 Jul 2022,204580,1951950.23,-
FUTIDX,26 Jul 2022,1247,8673.19,-
OPTFUT,27 Jul 2022,222511,1954921.48,-
FUTCOM,27 Jul 2022,391339,2298148.72,-
FUTIDX,27 Jul 2022,1778,12381.21,-
FUTIDX,28 Jul 2022,1768,12508.17,-
OPTFUT,28 Jul 2022,227365,1983590.97,-
FUTCOM,28 Jul 2022,662794,2881293.47,-
OPTFUT,29 Jul 2022,262778,2213642.72,-
FUTCOM,29 Jul 2022,482266,2356591.76,-
FUTIDX,29 Jul 2022,1302,9300.37,-
OPTFUT,01 Aug 2022,342360,2771477.37,-
FUTIDX,01 Aug 2022,1149,8222.56,-
FUTCOM,01 Aug 2022,430314,2265822.75,-
OPTFUT,02 Aug 2022,322248,2583351.04,-
FUTCOM,02 Aug 2022,486377,2407731.36,-
FUTIDX,02 Aug 2022,1444,10314.97,-
OPTFUT,03 Aug 2022,388072,3068176.7,-
FUTIDX,03 Aug 2022,1208,8607.8,-
FUTCOM,03 Aug 2022,411836,2128852.23,-
FUTIDX,04 Aug 2022,1819,13073.65,-
OPTFUT,04 Aug 2022,342651,2711310.12,-
FUTCOM,04 Aug 2022,518730,2671193.64,-
FUTCOM,05 Aug 2022,504091,2345306.09,-
OPTFUT,05 Aug 2022,366079,2794805.47,-
FUTIDX,05 Aug 2022,1656,11875.49,-
FUTCOM,08 Aug 2022,495719,2147602.23,-
FUTIDX,08 Aug 2022,1312,9461.4,-
OPTFUT,08 Aug 2022,399210,3021059.95,-
OPTFUT,09 Aug 2022,292860,2241208.88,-
FUTIDX,09 Aug 2022,803,5837.4,-
FUTCOM,09 Aug 2022,254275,1178806.69,-
FUTCOM,10 Aug 2022,441295,2291686.95,-
FUTIDX,10 Aug 2022,1071,7773.35,-
OPTFUT,10 Aug 2022,537175,4045762.34,-
FUTIDX,11 Aug 2022,1034,7489.67,-
FUTCOM,11 Aug 2022,420613,2126822.54,-
OPTFUT,11 Aug 2022,493986,3828952.81,-
FUTIDX,12 Aug 2022,970,7045.41,-
OPTFUT,12 Aug 2022,548389,4247618.32,-
FUTCOM,12 Aug 2022,394497,2050478.77,-
OPTFUT,16 Aug 2022,875762,6538335.11,-
FUTCOM,16 Aug 2022,484084,2533608.75,-
FUTIDX,16 Aug 2022,1389,9984.28,-
FUTCOM,17 Aug 2022,454679,2416956.44,-
OPTFUT,17 Aug 2022,372623,2978064.36,-
FUTIDX,17 Aug 2022,1111,7941.69,-
FUTCOM,18 Aug 2022,439614,2391398.14,-
OPTFUT,18 Aug 2022,267969,2318635.79,-
FUTIDX,18 Aug 2022,994,7087.42,-
FUTCOM,19 Aug 2022,429228,2031624.52,-
FUTIDX,19 Aug 2022,987,6986.93,-
OPTFUT,19 Aug 2022,269455,2316248.99,-
FUTCOM,22 Aug 2022,485137,2420172.83,-
FUTIDX,22 Aug 2022,1214,8522.61,-
OPTFUT,22 Aug 2022,438804,3790564.24,-
FUTCOM,23 Aug 2022,653098,2953339.48,-
FUTIDX,23 Aug 2022,1614,11357.39,-
OPTFUT,23 Aug 2022,427288,3843669.09,-
FUTIDX,24 Aug 2022,1298,9151.39,-
FUTCOM,24 Aug 2022,506854,2180069.34,-
OPTFUT,24 Aug 2022,355370,2981274.9,-
FUTIDX,25 Aug 2022,1514,10732.39,-
FUTCOM,25 Aug 2022,364615,1948017.95,-
OPTFUT,25 Aug 2022,240839,2017351.59,-
OPTFUT,26 Aug 2022,268563,2233961.5,-
FUTIDX,26 Aug 2022,1488,10505.85,-
FUTCOM,26 Aug 2022,525607,2645046.73,-
FUTCOM,29 Aug 2022,416807,2282189.45,-
FUTIDX,29 Aug 2022,1376,9607.46,-
OPTFUT,29 Aug 2022,314526,2614656.67,-
FUTIDX,30 Aug 2022,1160,8069.06,-
OPTFUT,30 Aug 2022,386404,3133733.75,-
FUTCOM,30 Aug 2022,429394,2397527.14,-
OPTFUT,31 Aug 2022,262199,2074463.07,-
FUTCOM,31 Aug 2022,258628,1379066.44,-
FUTIDX,31 Aug 2022,714,4908.16,-
FUTCOM,01 Sep 2022,438719,2269500.06,-
OPTFUT,01 Sep 2022,352881,2794886.01,-
FUTIDX,01 Sep 2022,1303,8866.61,-
FUTCOM,02 Sep 2022,460751,2262975.39,-
FUTIDX,02 Sep 2022,1115,7639.99,-
OPTFUT,02 Sep 2022,392519,3109190.51,-
OPTFUT,05 Sep 2022,290643,2253371.72,-
FUTIDX,05 Sep 2022,434,2981.89,-
FUTCOM,05 Sep 2022,235934,1322269.6,-
FUTIDX,06 Sep 2022,940,6468.53,-
FUTCOM,06 Sep 2022,465611,2174253.95,-
OPTFUT,06 Sep 2022,456612,3514299.44,-
OPTFUT,07 Sep 2022,511931,3883539.24,-
FUTIDX,07 Sep 2022,1159,7949.74,-
FUTCOM,07 Sep 2022,498112,2402414.09,-
FUTIDX,08 Sep 2022,1302,8983.86,-
OPTFUT,08 Sep 2022,473874,3472207.13,-
FUTCOM,08 Sep 2022,465207,2161747.75,-
OPTFUT,09 Sep 2022,492497,3630006.12,-
FUTIDX,09 Sep 2022,1243,8607.07,-
FUTCOM,09 Sep 2022,454142,2114578.35,-
FUTCOM,12 Sep 2022,707705,2952813.99,-
OPTFUT,12 Sep 2022,675854,5019448.45,-
FUTIDX,12 Sep 2022,1695,11848.59,-
FUTIDX,13 Sep 2022,1913,13327.69,-
FUTCOM,13 Sep 2022,639920,3188292.63,-
OPTFUT,13 Sep 2022,1017850,7486348.53,-
FUTCOM,14 Sep 2022,481628,2546901.18,-
FUTIDX,14 Sep 2022,762,5285.24,-
OPTFUT,14 Sep 2022,1112210,8194196.87,-
FUTIDX,15 Sep 2022,1655,11394.69,-
FUTCOM,15 Sep 2022,567178,2843718.86,-
OPTFUT,15 Sep 2022,485074,3977401.15,-
FUTCOM,16 Sep 2022,591048,2599333.4,-
FUTIDX,16 Sep 2022,1710,11685.32,-
OPTFUT,16 Sep 2022,300452,2622842.7,-
OPTFUT,19 Sep 2022,362789,2908654.19,-
FUTIDX,19 Sep 2022,1163,7963.25,-
FUTCOM,19 Sep 2022,418523,2077327.59,-
FUTCOM,20 Sep 2022,400844,1992692.39,-
OPTFUT,20 Sep 2022,381947,3034171.12,-
FUTIDX,20 Sep 2022,1127,7714.77,-
OPTFUT,21 Sep 2022,482233,3889011.27,-
FUTCOM,21 Sep 2022,538745,2519839.0,-
FUTIDX,21 Sep 2022,1662,11411.83,-
FUTIDX,22 Sep 2022,2215,15364.58,-
OPTFUT,22 Sep 2022,461136,3782424.65,-
FUTCOM,22 Sep 2022,618696,2892264.07,-
FUTIDX,23 Sep 2022,2637,18183.78,-
OPTFUT,23 Sep 2022,428072,3378147.45,-
FUTCOM,23 Sep 2022,780637,3320483.92,-
OPTFUT,26 Sep 2022,305154,2140178.41,-
FUTCOM,26 Sep 2022,587662,2579528.75,-
FUTIDX,26 Sep 2022,1968,13466.55,-
OPTFUT,27 Sep 2022,277031,1947106.75,-
FUTCOM,27 Sep 2022,521109,2472052.01,-
FUTIDX,27 Sep 2022,1149,7845.0,-
FUTCOM,28 Sep 2022,747072,3252200.09,-
OPTFUT,28 Sep 2022,314632,2262023.3,-
FUTIDX,28 Sep 2022,2155,14730.14,-
OPTFUT,29 Sep 2022,314205,2274938.88,-
FUTCOM,29 Sep 2022,551428,2646094.92,-
FUTIDX,29 Sep 2022,1289,8893.16,-
OPTFUT,30 Sep 2022,360853,2581782.27,-
FUTCOM,30 Sep 2022,617229,2718095.66,-
FUTIDX,30 Sep 2022,1752,12170.29,-
FUTIDX,03 Oct 2022,2150,15150.73,-
OPTFUT,03 Oct 2022,386987,2837041.09,-
FUTCOM,03 Oct 2022,838868,3213460.86,-
FUTCOM,04 Oct 2022,661721,2975900.34,-
OPTFUT,04 Oct 2022,367927,2761303.41,-
FUTIDX,04 Oct 2022,1713,12355.77,-
OPTFUT,05 Oct 2022,312592,2326855.11,-
FUTCOM,05 Oct 2022,449409,1871433.91,-
FUTIDX,05 Oct 2022,960,6879.84,-
FUTCOM,06 Oct 2022,516934,2471313.38,-
OPTFUT,06 Oct 2022,333759,2533983.21,-
FUTIDX,06 Oct 2022,1009,7305.13,-
FUTCOM,07 Oct 2022,581723,2605486.31,-
FUTIDX,07 Oct 2022,1440,10414.5,-
OPTFUT,07 Oct 2022,494588,3789922.6,-
FUTIDX,10 Oct 2022,1324,9423.17,-
FUTCOM,10 Oct 2022,517556,2569319.18,-
OPTFUT,10 Oct 2022,451282,3560325.45,-
FUTCOM,11 Oct 2022,481849,2405279.55,-
OPTFUT,11 Oct 2022,580758,4411385.42,-
FUTIDX,11 Oct 2022,911,6428.61,-
OPTFUT,12 Oct 2022,667259,4990153.08,-
FUTIDX,12 Oct 2022,913,6419.42,-
FUTCOM,12 Oct 2022,477740,2366568.82,-
FUTIDX,13 Oct 2022,1519,10630.32,-
FUTCOM,13 Oct 2022,631103,3115546.29,-
OPTFUT,13 Oct 2022,768717,5711457.06,-
FUTIDX,14 Oct 2022,1519,10547.26,-
OPTFUT,14 Oct 2022,1025068,7575031.64,-
